title,abstract,keywords,authors,url,from_source
Learning Similarity Metrics for Volumetric Simulations with Multiscale CNNs,"Simulations that produce three-dimensional data are ubiquitous in science, ranging from fluid flows to plasma physics. We propose a similarity model based on entropy, which allows for the creation of physically meaningful ground truth distances for the similarity assessment of scalar and vectorial data, produced from transport and motion-based simulations. Utilizing two data acquisition methods derived from this model, we create collections of fields from numerical PDE solvers and existing simulation data repositories. Furthermore, a multiscale CNN architecture that computes a volumetric similarity metric (VolSiM) is proposed. To the best of our knowledge this is the first learning method inherently designed to address the challenges arising for the similarity assessment of high-dimensional simulation data. Additionally, the tradeoff between a large batch size and an accurate correlation computation for correlation-based loss functions is investigated, and the metric's invariance with respect to rotation and scale operations is analyzed. Finally, the robustness and generalization of VolSiM is evaluated on a large range of test data, as well as a particularly challenging turbulence case study, that is close to potential real-world applications.","[""ML: Learning Preferences or Rankings"", ""APP: Natural Sciences"", ""ML: Representation Learning"", ""ML: Applications""]","[""Georg Kohl"", ""Li-Wei Chen"", ""Nils Thuerey""]",https://ojs.aaai.org/index.php/AAAI/article/view/26007/25779,AAAI
Large-State Reinforcement Learning for Hyper-Heuristics,"Hyper-heuristics are a domain-independent problem solving approach where the main task is to select effective chains of problem-specific low-level heuristics on the fly for an unseen instance. This task can be seen as a reinforcement learning problem, however, the information available to the hyper-heuristic is very limited, usually leading to very limited state representations. In this work, for the first time we use the trajectory of solution changes for a larger set of features for reinforcement learning in the novel hyper-heuristic LAST-RL (Large-State Reinforcement Learning). Further, we introduce a probability distribution for the exploration case in our epsilon-greedy policy that is based on the idea of Iterated Local Search to increase the chance to sample good chains of low-level heuristics. The benefit of the collaboration of our novel components is shown on the academic benchmark of the Cross Domain Heuristic Challenge 2011 consisting of six different problem domains. Our approach can provide state-of-the-art results on this benchmark where it outperforms recent hyper-heuristics based on reinforcement learning, and also demonstrates high performance on a benchmark of complex real-life personnel scheduling domains.","[""SO: Metareasoning and Metaheuristics"", ""ML: Reinforcement Learning Algorithms"", ""PRS: Applications"", ""SO: Heuristic Search""]","[""Lucas Kletzander"", ""Nysret Musliu""]",https://ojs.aaai.org/index.php/AAAI/article/view/26466/26238,AAAI
Decorate the Newcomers: Visual Domain Prompt for Continual Test Time Adaptation,"Continual Test-Time Adaptation (CTTA) aims to adapt the source model to continually changing unlabeled target domains without access to the source data. Existing methods mainly focus on model-based adaptation in a self-training manner, such as predicting pseudo labels for new domain datasets. Since pseudo labels are noisy and unreliable, these methods suffer from catastrophic forgetting and error accumulation when dealing with dynamic data distributions. Motivated by the prompt learning in NLP, in this paper, we propose to learn an image-layer visual domain prompt for target domains while having the source model parameters frozen. During testing, the changing target datasets can be adapted to the source model by reformulating the input data with the learned visual prompts. Specifically, we devise two types of prompts, i.e., domains-specific prompts and domains-agnostic prompts, to extract current domain knowledge and maintain the domain-shared knowledge in the continual adaptation. Furthermore, we design a homeostasis-based adaptation strategy to suppress domain-sensitive parameters in domain-invariant prompts to learn domain-shared knowledge more effectively. This transition from the model-dependent paradigm to the model-free one enables us to bypass the catastrophic forgetting and error accumulation problems. Experiments show that our proposed method achieves significant performance gains over state-of-the-art methods on four widely-used benchmarks, including CIFAR-10C, CIFAR-100C, ImageNet-C, and VLCS datasets.","[""ML: Transfer"", ""Domain Adaptation"", ""Multi-Task Learning"", ""CV: Low Level & Physics-Based Vision"", ""ML: Lifelong and Continual Learning"", ""ML: Unsupervised & Self-Supervised Learning""]","[""Yulu Gan"", ""Yan Bai"", ""Yihang Lou"", ""Xianzheng Ma"", ""Renrui Zhang"", ""Nian Shi"", ""Lin Luo""]",https://ojs.aaai.org/index.php/AAAI/article/view/25922/25694,AAAI
MIGA: A Unified Multi-Task Generation Framework for Conversational Text-to-SQL,"Conversational text-to-SQL is designed to translate multi-turn natural language questions into their corresponding SQL queries. Most advanced conversational text-to-SQL methods are incompatible with generative pre-trained language models (PLMs), such as T5. In this paper, we present a two-stage unified MultI-task Generation frAmework (MIGA) that leverages PLMsâ€?ability to tackle conversational text-to-SQL. In the pre-training stage, MIGA first decomposes the main task into several related sub-tasks and then unifies them into the same sequence-to-sequence (Seq2Seq) paradigm with task-specific natural language prompts to boost the main task from multi-task training. Later in the fine-tuning stage, we propose four SQL perturbations to alleviate the error propagation problem. MIGA tends to achieve state-of-the-art performance on two benchmarks (SparC and CoSQL). We also provide extensive analyses and discussions to shed light on some new perspectives for conversational text-to-SQL.","[""SNLP: Generation"", ""ML: Transfer"", ""Domain Adaptation"", ""Multi-Task Learning"", ""SNLP: Conversational AI/Dialogue Systems"", ""SNLP: Language Models""]","[""Yingwen Fu"", ""Wenjie Ou"", ""Zhou Yu"", ""Yue Lin""]",https://ojs.aaai.org/index.php/AAAI/article/view/26504/26276,AAAI
Heterogeneous Graph Learning for Multi-Modal Medical Data Analysis,"Routine clinical visits of a patient produce not only image data, but also non-image data containing clinical information regarding the patient, i.e., medical data is multi-modal in nature. Such heterogeneous modalities offer different and complementary perspectives on the same patient, resulting in more accurate clinical decisions when they are properly combined. However, despite its significance, how to effectively fuse the multi-modal medical data into a unified framework has received relatively little attention. In this paper, we propose an effective graph-based framework called HetMed (Heterogeneous Graph Learning for Multi-modal Medical Data Analysis) for fusing the multi-modal medical data.
Specifically, we construct a multiplex network that incorporates multiple types of non-image features of patients to capture the complex relationship between patients in a systematic way, which leads to more accurate clinical decisions. Extensive experiments on various real-world datasets demonstrate the superiority and practicality of HetMed. The source code for HetMed is available at https://github.com/Sein-Kim/Multimodal-Medical.","[""APP: Healthcare"", ""Medicine & Wellness"", ""CV: Medical and Biological Imaging""]","[""Sein Kim"", ""Namkyeong Lee"", ""Junseok Lee"", ""Dongmin Hyun"", ""Chanyoung Park""]",https://ojs.aaai.org/index.php/AAAI/article/view/25643/25415,AAAI
FASTDIAGP: An Algorithm for Parallelized Direct Diagnosis,"Constraint-based applications attempt to identify a solution that meets all defined user requirements. If the requirements are inconsistent with the underlying constraint set, algorithms that compute diagnoses for inconsistent constraints should be implemented to help users resolve the â€œno solution could be foundâ€?dilemma. FastDiag is a typical direct diagnosis algorithm that supports diagnosis calculation without pre-determining conflicts. However, this approach faces runtime performance issues, especially when analyzing complex and large-scale knowledge bases. In this paper, we propose a novel algorithm, so-called FastDiagP, which is based on the idea of speculative programming. This algorithm extends FastDiag by integrating a parallelization mechanism that anticipates and pre-calculates consistency checks requested by FastDiag. This mechanism helps to provide consistency checks with fast answers and boosts the algorithmâ€™s runtime performance. The performance improvements of our proposed algorithm have been shown through empirical results using the Linux-2.6.3.33 configuration knowledge base.","[""KRR: Diagnosis and Abductive Reasoning"", ""CSO: Applications"", ""KRR: Applications"", ""KRR: Knowledge Engineering""]","[""Viet-Man Le"", ""Cristian Vidal Silva"", ""Alexander Felfernig"", ""David Benavides"", ""Jos\u00e9 Galindo"", ""Thi Ngoc Trang Tran""]",https://ojs.aaai.org/index.php/AAAI/article/view/25792/25564,AAAI
Self-Paced Learning Based Graph Convolutional Neural Network for Mixed Integer Programming (Student Abstract),"Graph convolutional neural network (GCN) based methods have achieved noticeable performance in solving mixed integer programming problems (MIPs). However, the generalization of existing work is limited due to the problem structure. This paper proposes a self-paced learning (SPL) based GCN network (SPGCN) with curriculum learning (CL) to make the utmost of samples. SPGCN employs a GCN model to imitate the branching variable selection during the branch and bound process, while the training process is conducted in a self-paced fashion. Specifically, SPGCN contains a loss-based automatic difficulty measurer, where the training loss of the sample represents the difficulty level. In each iteration, a dynamic training dataset is constructed according to the difficulty level for GCN model training. Experiments on four NP-hard datasets verify that CL can lead to generalization improvement and convergence speedup in solving MIPs, where SPL performs better than predefined CL methods.","[""Mixed Integer Programming Problems"", ""Graph Convolutional Neural Network"", ""Curriculum Learning""]","[""Li Chen"", ""Hua Xu"", ""Ziteng Wang"", ""Chengming Wang"", ""Yu Jiang""]",https://ojs.aaai.org/index.php/AAAI/article/view/26954/26726,AAAI
Adaptive Temporal Planning for Multi-Robot Systems in Operations and Maintenance of Offshore Wind Farms,"With the fast development of offshore wind farms as renewable energy sources, maintaining them efficiently and safely becomes necessary. The high costs of operation and maintenance (O&M) are due to the length of turbine downtime and the logistics for human technician transfer. To reduce such costs, we propose a comprehensive multi-robot system that includes unmanned aerial vehicles (UAV), autonomous surface vessels (ASV), and inspection-and-repair robots (IRR). Our system, which is capable of co-managing the farms with human operators located onshore, brings down costs and significantly reduces the Health and Safety (H&S) risks of O&M by assisting human operators in performing dangerous tasks. In this paper, we focus on using AI temporal planning to coordinate the actions of the different autonomous robots that form the multi-robot system. We devise a new, adaptive planning approach that reduces failures and replanning by performing data-driven goal and domain refinement. Our experiments in both simulated and real-world scenarios prove the effectiveness and robustness of our technique. The success of our system marks the first-step towards a large-scale, multirobot solution for wind farm O&M.","[""PDDL"", ""Adaptive Planning"", ""Multi-Agent Planning"", ""Extreme Environments""]","[""Ferdian Jovan"", ""Sara Bernardini""]",https://ojs.aaai.org/index.php/AAAI/article/view/26874/26646,AAAI
Testing the Channels of Convolutional Neural Networks,"Neural networks have complex structures, and thus it is hard to understand their inner workings and ensure correctness. To understand and debug convolutional neural networks (CNNs) we propose techniques for testing the channels of CNNs. We design FtGAN, an extension to GAN, that can generate test data with varying the intensity (i.e., sum of the neurons) of a channel of a target CNN. We also proposed a channel selection algorithm to find representative channels for testing. To efficiently inspect the target CNNâ€™s inference computations, we define unexpectedness score, which estimates how similar the inference computation of the test data is to that of the training data. We evaluated FtGAN with five public datasets and showed that our techniques successfully identify defective channels in five different CNN models.","[""General""]","[""Kang Choi"", ""Donghyun Son"", ""Younghoon Kim"", ""Jiwon Seo""]",https://ojs.aaai.org/index.php/AAAI/article/view/26726/26498,AAAI
Improvement-Focused Causal Recourse (ICR),"Algorithmic recourse recommendations inform stakeholders of how to act to revert unfavorable decisions. However, existing methods may recommend actions that lead to acceptance (i.e., revert the model's decision) but do not lead to improvement (i.e., may not revert the underlying real-world state). To recommend such actions is to recommend fooling the predictor. We introduce a novel method, Improvement-Focused Causal Recourse (ICR), which involves a conceptual shift: Firstly, we require ICR recommendations to guide toward improvement. Secondly, we do not tailor the recommendations to be accepted by a specific predictor.  Instead, we leverage causal knowledge to design decision systems that predict accurately pre- and post-recourse, such that improvement guarantees translate into acceptance guarantees. Curiously, optimal pre-recourse classifiers are robust to ICR actions and thus suitable post-recourse. In semi-synthetic experiments, we demonstrate that given correct causal knowledge ICR, in contrast to existing approaches, guides toward both acceptance and improvement.","[""PEAI: Interpretability and Explainability"", ""ML: Causal Learning"", ""PEAI: Philosophical Foundations of AI"", ""RU: Causality"", ""RU: Graphical Model""]","[""Gunnar K\u00f6nig"", ""Timo Freiesleben"", ""Moritz Grosse-Wentrup""]",https://ojs.aaai.org/index.php/AAAI/article/view/26398/26170,AAAI
